id,suscriptor_id,es_plantilla,codigo,nombre,tipo,naturaleza,nivel,categoria_nivel,ruta,ruta_codigo,padre_id,registra_tercero,requiere_centro_costo,requiere_presupuesto,niif_categoria_id,puc_categoria_id,activo,fecha_creacion,fecha_actualizacion
,,1,1,ACTIVO,activo,D,1,clase,,,,0,0,0,,,1,,
,,1,11,DISPONIBLE,activo,D,2,grupo,,,1,0,0,0,,,1,,
,,1,1105,CAJA,activo,D,3,cuenta,,,11,0,0,0,,,1,,
,,1,110505,CAJA GENERAL,activo,D,4,subcuenta,,,1105,0,0,0,,,1,,
,,1,11050501,Caja general,activo,D,5,auxiliar,,,110505,1,0,0,,,1,,
,,1,110510,CAJAS MENORES,activo,D,4,subcuenta,,,1105,0,0,0,,,1,,
,,1,11051001,Cajas menores,activo,D,5,auxiliar,,,110510,1,0,0,,,1,,
,,1,110515,MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1105,0,0,0,,,1,,
,,1,11051501,Moneda extranjera,activo,D,5,auxiliar,,,110515,1,0,0,,,1,,
,,1,1110,BANCOS,activo,D,3,cuenta,,,11,0,0,0,,,1,,
,,1,111005,MONEDA NACIONAL,activo,D,4,subcuenta,,,1110,0,0,0,,,1,,
,,1,11100501,Moneda nacional,activo,D,5,auxiliar,,,111005,1,0,0,,,1,,
,,1,111010,MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1110,0,0,0,,,1,,
,,1,11101001,Moneda extranjera,activo,D,5,auxiliar,,,111010,1,0,0,,,1,,
,,1,1115,REMESAS EN TRANSITO,activo,D,3,cuenta,,,11,0,0,0,,,1,,
,,1,111505,MONEDA NACIONAL,activo,D,4,subcuenta,,,1115,0,0,0,,,1,,
,,1,11150501,Moneda nacional,activo,D,5,auxiliar,,,111505,1,0,0,,,1,,
,,1,111510,MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1115,0,0,0,,,1,,
,,1,11151001,Moneda extranjera,activo,D,5,auxiliar,,,111510,1,0,0,,,1,,
,,1,1120,CUENTAS DE AHORRO,activo,D,3,cuenta,,,11,0,0,0,,,1,,
,,1,112005,BANCOS,activo,D,4,subcuenta,,,1120,0,0,0,,,1,,
,,1,11200501,Bancos,activo,D,5,auxiliar,,,112005,1,0,0,,,1,,
,,1,112010,CORPORACIONES DE AHORRO Y VIVIENDA,activo,D,4,subcuenta,,,1120,0,0,0,,,1,,
,,1,11201001,Corporaciones de ahorro y vivienda,activo,D,5,auxiliar,,,112010,1,0,0,,,1,,
,,1,112015,ORGANISMOS COOPERATIVOS FINANCIEROS,activo,D,4,subcuenta,,,1120,0,0,0,,,1,,
,,1,11201501,Organismos cooperativos financieros,activo,D,5,auxiliar,,,112015,1,0,0,,,1,,
,,1,1125,FONDOS,activo,D,3,cuenta,,,11,0,0,0,,,1,,
,,1,112505,ROTATORIOS MONEDA NACIONAL,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11250501,Rotatorios moneda nacional,activo,D,5,auxiliar,,,112505,1,0,0,,,1,,
,,1,112510,ROTATORIOS MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11251001,Rotatorios moneda extranjera,activo,D,5,auxiliar,,,112510,1,0,0,,,1,,
,,1,112515,ESPECIALES MONEDA NACIONAL,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11251501,Especiales moneda nacional,activo,D,5,auxiliar,,,112515,1,0,0,,,1,,
,,1,112520,ESPECIALES MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11252001,Especiales moneda extranjera,activo,D,5,auxiliar,,,112520,1,0,0,,,1,,
,,1,112525,DE AMORTIZACION MONEDA NACIONAL,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11252501,De amortizacion moneda nacional,activo,D,5,auxiliar,,,112525,1,0,0,,,1,,
,,1,112530,DE AMORTIZACION MONEDA EXTRANJERA,activo,D,4,subcuenta,,,1125,0,0,0,,,1,,
,,1,11253001,De amortizacion moneda extranjera,activo,D,5,auxiliar,,,112530,1,0,0,,,1,,
,,1,12,INVERSIONES,activo,D,2,grupo,,,1,0,0,0,,,1,,
,,1,1205,ACCIONES,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,120505,AGRICULTURA- GANADERIA- CAZA Y SILVICULTURA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12050501,Agricultura- ganaderia- caza y silvicultura,activo,D,5,auxiliar,,,120505,1,0,0,,,1,,
,,1,120510,PESCA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12051001,Pesca,activo,D,5,auxiliar,,,120510,1,0,0,,,1,,
,,1,120515,EXPLOTACION DE MINAS Y CANTERAS,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12051501,Explotacion de minas y canteras,activo,D,5,auxiliar,,,120515,1,0,0,,,1,,
,,1,120520,INDUSTRIA MANUFACTURERA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12052001,Industria manufacturera,activo,D,5,auxiliar,,,120520,1,0,0,,,1,,
,,1,120525,SUMINISTRO DE ELECTRICIDAD- GAS Y AGUA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12052501,Suministro de electricidad- gas y agua,activo,D,5,auxiliar,,,120525,1,0,0,,,1,,
,,1,120530,CONSTRUCCION,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12053001,Construccion,activo,D,5,auxiliar,,,120530,1,0,0,,,1,,
,,1,120535,COMERCIO AL POR MAYOR Y AL POR MENOR,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12053501,Comercio al por mayor y al por menor,activo,D,5,auxiliar,,,120535,1,0,0,,,1,,
,,1,120540,HOTELES Y RESTAURANTES,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12054001,Hoteles y restaurantes,activo,D,5,auxiliar,,,120540,1,0,0,,,1,,
,,1,120545,TRANSPORTE- ALMACENAMIENTO Y COMUNICACIONES,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12054501,Transporte- almacenamiento y comunicaciones,activo,D,5,auxiliar,,,120545,1,0,0,,,1,,
,,1,120550,ACTIVIDAD FINANCIERA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12055001,Actividad financiera,activo,D,5,auxiliar,,,120550,1,0,0,,,1,,
,,1,120555,ACTIVIDADES INMOBILIARIAS- EMPRESARIALES Y DE ALQUILER,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12055501,Actividades inmobiliarias- empresariales y de alquiler,activo,D,5,auxiliar,,,120555,1,0,0,,,1,,
,,1,120560,ENSEnhANZA,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12056001,Ensenhanza,activo,D,5,auxiliar,,,120560,1,0,0,,,1,,
,,1,120565,SERVICIOS SOCIALES Y DE SALUD,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12056501,Servicios sociales y de salud,activo,D,5,auxiliar,,,120565,1,0,0,,,1,,
,,1,120570,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS- SOCIALES Y PERSONALES,activo,D,4,subcuenta,,,1205,0,0,0,,,1,,
,,1,12057001,Otras actividades de servicios comunitarios- sociales y personales,activo,D,5,auxiliar,,,120570,1,0,0,,,1,,
,,1,1210,CUOTAS O PARTES DE INTERES SOCIAL,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,121005,AGRICULTURA- GANADERIA- CAZA Y SILVICULTURA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12100501,Agricultura- ganaderia- caza y silvicultura,activo,D,5,auxiliar,,,121005,1,0,0,,,1,,
,,1,121010,PESCA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12101001,Pesca,activo,D,5,auxiliar,,,121010,1,0,0,,,1,,
,,1,121015,EXPLOTACION DE MINAS Y CANTERAS,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12101501,Explotacion de minas y canteras,activo,D,5,auxiliar,,,121015,1,0,0,,,1,,
,,1,121020,INDUSTRIA MANUFACTURERA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12102001,Industria manufacturera,activo,D,5,auxiliar,,,121020,1,0,0,,,1,,
,,1,121025,SUMINISTRO DE ELECTRICIDAD- GAS Y AGUA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12102501,Suministro de electricidad- gas y agua,activo,D,5,auxiliar,,,121025,1,0,0,,,1,,
,,1,121030,CONSTRUCCION,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12103001,Construccion,activo,D,5,auxiliar,,,121030,1,0,0,,,1,,
,,1,121035,COMERCIO AL POR MAYOR Y AL POR MENOR,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12103501,Comercio al por mayor y al por menor,activo,D,5,auxiliar,,,121035,1,0,0,,,1,,
,,1,121040,HOTELES Y RESTAURANTES,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12104001,Hoteles y restaurantes,activo,D,5,auxiliar,,,121040,1,0,0,,,1,,
,,1,121045,TRANSPORTE- ALMACENAMIENTO Y COMUNICACIONES,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12104501,Transporte- almacenamiento y comunicaciones,activo,D,5,auxiliar,,,121045,1,0,0,,,1,,
,,1,121050,ACTIVIDAD FINANCIERA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12105001,Actividad financiera,activo,D,5,auxiliar,,,121050,1,0,0,,,1,,
,,1,121055,ACTIVIDADES INMOBILIARIAS- EMPRESARIALES Y DE ALQUILER,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12105501,Actividades inmobiliarias- empresariales y de alquiler,activo,D,5,auxiliar,,,121055,1,0,0,,,1,,
,,1,121060,ENSEnhANZA,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12106001,Ensenhanza,activo,D,5,auxiliar,,,121060,1,0,0,,,1,,
,,1,121065,SERVICIOS SOCIALES Y DE SALUD,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12106501,Servicios sociales y de salud,activo,D,5,auxiliar,,,121065,1,0,0,,,1,,
,,1,121070,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS- SOCIALES Y PERSONALES,activo,D,4,subcuenta,,,1210,0,0,0,,,1,,
,,1,12107001,Otras actividades de servicios comunitarios- sociales y personales,activo,D,5,auxiliar,,,121070,1,0,0,,,1,,
,,1,1215,BONOS,activo,D,3,cuenta,,,12,0,0,0,,,1,,
,,1,121505,BONOS PUBLICOS MONEDA NACIONAL,activo,D,4,subcuenta,,,1215,0,0,0,,,1,,
,,1,12150501,Bonos publicos moneda nacional,activo,D,5,auxiliar,,,121505,1,0,0,,,1,,
